"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\paula\Documents\GitHub\FirebaseCalendar\firebase_project\lib\AuthGate.dart", "Dart", 25, 0, 3, 28
"c:\Users\paula\Documents\GitHub\FirebaseCalendar\firebase_project\lib\main.dart", "Dart", 19, 0, 5, 24
"c:\Users\paula\Documents\GitHub\FirebaseCalendar\firebase_project\lib\model\event.dart", "Dart", 45, 1, 9, 55
"c:\Users\paula\Documents\GitHub\FirebaseCalendar\firebase_project\lib\screens\calendar_screen.dart", "Dart", 349, 11, 20, 380
"c:\Users\paula\Documents\GitHub\FirebaseCalendar\firebase_project\lib\screens\event_info_screen.dart", "Dart", 120, 3, 7, 130
"c:\Users\paula\Documents\GitHub\FirebaseCalendar\firebase_project\lib\screens\event_screen.dart", "Dart", 118, 0, 7, 125
"Total", "-", 676, 15, 51, 742
