"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\paula\Documents\GitHub\FirebaseCalendar\firebase_project\lib\main.dart", "Dart", 18, 0, 5, 23
"c:\Users\paula\Documents\GitHub\FirebaseCalendar\firebase_project\lib\model\event.dart", "Dart", 45, 1, 9, 55
"c:\Users\paula\Documents\GitHub\FirebaseCalendar\firebase_project\lib\screens\calendar_screen.dart", "Dart", 313, 8, 18, 339
"c:\Users\paula\Documents\GitHub\FirebaseCalendar\firebase_project\lib\screens\event_info_screen.dart", "Dart", 120, 3, 7, 130
"c:\Users\paula\Documents\GitHub\FirebaseCalendar\firebase_project\lib\screens\event_screen.dart", "Dart", 118, 0, 7, 125
"Total", "-", 614, 12, 46, 672
